Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,13233.709961,13425.030273,12948.169922,13226.830078,13226.830078,306195700
2020-01-08,13140.490234,13548.200195,13106.269531,13456.490234,13456.490234,394849100
2020-01-15,13444.950195,13560.679688,13382.980469,13555.870117,13555.870117,315514300
2020-01-22,13601.650391,13640.059570,13163.360352,13323.690430,13323.690430,445101500
2020-01-29,13316.419922,13371.299805,12973.700195,13281.740234,13281.740234,437763200
2020-02-05,13224.269531,13668.429688,13223.139648,13627.839844,13627.839844,475268700
2020-02-12,13671.150391,13795.240234,13576.959961,13681.190430,13681.190430,384624000
2020-02-19,13751.049805,13789.000000,12778.660156,12790.490234,12790.490234,580094900
2020-02-26,12682.160156,12849.169922,11624.629883,11985.389648,11985.389648,1032634200
2020-03-04,11992.589844,12207.769531,10423.900391,10475.490234,10475.490234,1063695300
2020-03-11,10601.849609,10761.429688,8255.650391,8939.099609,8939.099609,1455381800
2020-03-18,8613.349609,9700.570313,8257.530273,9700.570313,9700.570313,1100613500
2020-03-25,9987.370117,10137.620117,9453.790039,9935.839844,9935.839844,803907000
2020-04-01,9610.669922,10590.410156,9337.019531,10356.700195,10356.700195,669538600
2020-04-08,10301.559570,10820.169922,10198.219727,10696.559570,10696.559570,342951500
2020-04-15,10678.190430,10756.780273,10236.240234,10249.849609,10249.849609,607366900
2020-04-22,10370.250000,10897.820313,10299.309570,10795.629883,10795.629883,579358700
2020-04-29,10812.740234,11235.570313,10426.059570,10729.459961,10729.459961,552275900
2020-05-06,10716.509766,10986.219727,10598.900391,10819.500000,10819.500000,455791500
2020-05-13,10669.990234,11201.179688,10160.889648,11075.290039,11075.290039,602973500
2020-05-20,11029.330078,11544.349609,10867.169922,11504.650391,11504.650391,455262500
2020-05-27,11530.200195,12055.570313,11519.769531,12021.280273,12021.280273,606797000
2020-06-03,12147.120117,12913.129883,12133.700195,12617.990234,12617.990234,746178000
2020-06-10,12719.150391,12763.889648,11597.820313,12315.660156,12315.660156,586444100
2020-06-17,12312.440430,12616.120117,12172.120117,12523.759766,12523.759766,690236200
2020-06-24,12459.809570,12489.240234,11957.309570,12310.929688,12310.929688,588927800
2020-07-01,12391.719727,12842.589844,12095.110352,12616.799805,12616.799805,395988700
2020-07-08,12542.580078,12836.410156,12416.690430,12697.360352,12697.360352,372492400
2020-07-15,12812.110352,13313.900391,12773.440430,13171.830078,13171.830078,373639800
2020-07-22,13165.290039,13217.730469,12746.459961,12835.280273,12835.280273,315234400
2020-07-29,12819.629883,12864.389648,12253.919922,12600.870117,12600.870117,394254400
2020-08-05,12667.120117,13046.129883,12517.440430,12946.889648,12946.889648,320554100
2020-08-12,12917.339844,13101.120117,12797.519531,12881.759766,12881.759766,278606700
2020-08-19,12838.629883,13221.820313,12633.709961,13061.620117,13061.620117,299521000
2020-08-26,13041.830078,13218.049805,12850.299805,12974.250000,12974.250000,286117600
2020-09-02,13071.660156,13460.459961,12753.690430,12968.330078,12968.330078,383876700
2020-09-09,12990.519531,13339.139648,12973.459961,13217.669922,13217.669922,297216900
2020-09-16,13224.160156,13277.230469,12505.160156,12594.389648,12594.389648,493295200
2020-09-23,12737.320313,12873.400391,12341.580078,12825.820313,12825.820313,309920000
2020-09-30,12754.769531,12966.089844,12539.860352,12906.019531,12906.019531,342016600
2020-10-07,12901.290039,13151.799805,12837.110352,13018.990234,13018.990234,290239400
2020-10-14,13012.690430,13066.440430,12599.820313,12736.950195,12736.950195,318472400
2020-10-21,12764.450195,12765.049805,12034.799805,12063.570313,12063.570313,347021500
2020-10-28,11848.309570,12088.980469,11450.080078,12088.980469,12088.980469,492891600
2020-11-04,11896.110352,13297.049805,11848.209961,13163.110352,13163.110352,604816900
2020-11-11,13205.950195,13277.450195,13004.820313,13133.469727,13133.469727,410853900
2020-11-18,13086.429688,13312.419922,13034.509766,13292.440430,13292.440430,357121600
2020-11-25,13346.769531,13445.110352,13235.820313,13382.299805,13382.299805,357649800
