Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,13233.709961,13640.059570,12948.169922,12981.969727,12981.969727,1737147300
2020-02-01,13033.169922,13795.240234,11724.120117,11890.349609,11890.349609,2231747600
2020-03-01,12030.269531,12272.990234,8255.650391,9935.839844,9935.839844,4826748300
2020-04-01,9610.669922,11235.570313,9337.019531,10861.639648,10861.639648,2507299800
2020-05-01,10543.360352,11813.139648,10160.889648,11586.849609,11586.849609,2221913600
2020-06-01,11586.849609,12913.129883,11586.849609,12310.929688,12310.929688,2754888800
2020-07-01,12391.719727,13313.900391,12095.110352,12313.360352,12313.360352,1712733000
2020-08-01,12374.459961,13221.820313,12365.610352,12945.379883,12945.379883,1260622200
2020-09-01,13037.200195,13460.459961,12341.580078,12760.730469,12760.730469,1617666600
2020-10-01,12812.080078,13151.799805,11450.080078,11556.480469,11556.480469,1555195300
2020-11-01,11602.910156,13445.110352,11551.360352,13291.160156,13291.160156,1828909000
2020-12-01,13371.660156,13434.299805,13223.929688,13298.959961,13298.959961,258882700
2020-12-04,13230.610352,13315.370117,13225.080078,13298.959961,13298.959961,0
