Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,23319.759766,24115.949219,22892.949219,23205.179688,23205.179688,1133600
2020-02-01,22874.269531,23995.369141,20916.400391,21142.960938,21142.960938,1396200
2020-03-01,20849.789063,21719.779297,16358.190430,18917.009766,18917.009766,3101700
2020-04-01,18686.119141,20365.890625,17646.500000,20193.689453,20193.689453,1837200
2020-05-01,19991.970703,21955.439453,19448.929688,21877.890625,21877.890625,1539400
2020-06-01,21910.890625,23185.849609,21529.830078,22288.140625,22288.140625,1754000
2020-07-01,22338.300781,22965.560547,21710.000000,21710.000000,21710.000000,1454700
2020-08-01,21947.580078,23431.039063,21919.830078,23139.759766,23139.759766,1357300
2020-09-01,23089.630859,23622.740234,22878.710938,23185.119141,23185.119141,1362400
2020-10-01,23184.929688,23725.580078,22948.470703,22977.130859,22977.130859,1148600
2020-11-01,23110.740234,26834.199219,23096.789063,26433.619141,26433.619141,1614800
2020-12-01,26624.199219,26889.900391,26618.390625,26751.240234,26751.240234,284500
2020-12-04,26697.259766,26799.830078,26646.080078,26751.240234,26751.240234,0
