Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,608.010010,613.950012,601.820007,609.710022,609.710022,242888100
2020-01-08,607.530029,615.739990,605.070007,611.150024,611.150024,304628300
2020-01-15,611.989990,616.460022,607.320007,611.890015,611.890015,281479200
2020-01-22,609.900024,615.919983,596.770020,602.960022,602.960022,355986900
2020-01-29,602.989990,606.200012,589.400024,605.400024,605.400024,451604000
2020-02-05,604.270020,625.210022,604.000000,623.849976,623.849976,402607100
2020-02-12,624.789978,632.119995,621.979980,625.429993,625.429993,411387300
2020-02-19,627.469971,629.479980,581.520020,582.710022,582.710022,445368600
2020-02-26,577.809998,583.599976,530.140015,554.150024,554.150024,808849500
2020-03-04,550.489990,562.260010,482.049988,485.489990,485.489990,465973300
2020-03-11,493.369995,497.660004,389.600006,424.260010,424.260010,514922300
2020-03-18,410.850006,461.730011,398.040009,461.730011,461.730011,1334625100
2020-03-25,471.440002,486.040009,454.589996,483.440002,483.440002,913596500
2020-04-01,468.989990,508.559998,465.290009,499.850006,499.850006,822226600
2020-04-08,496.190002,513.539978,491.489990,507.739990,507.739990,411803000
2020-04-15,506.410004,512.760010,489.380005,495.760010,495.760010,695901500
2020-04-22,500.670013,521.570007,499.630005,519.969971,519.969971,577065000
2020-04-29,519.890015,528.690002,490.790009,509.829987,509.829987,628484200
2020-05-06,509.239990,525.109985,505.149994,520.440002,520.440002,547598100
2020-05-13,513.450012,525.200012,492.420013,520.450012,520.450012,754320700
2020-05-20,517.729980,538.650024,514.320007,531.299988,531.299988,484310100
2020-05-27,532.419983,547.989990,523.260010,546.119995,546.119995,698231200
2020-06-03,551.690002,573.460022,551.539978,561.750000,561.750000,851223400
2020-06-10,564.599976,567.270020,529.780029,560.010010,560.010010,750826100
2020-06-17,560.669983,576.450012,560.429993,574.190002,574.190002,684156500
2020-06-24,571.409973,572.539978,549.880005,559.729980,559.729980,424742500
2020-07-01,561.010010,580.210022,553.909973,575.520020,575.520020,370193800
2020-07-08,573.760010,579.270020,564.710022,572.510010,572.510010,428156000
2020-07-15,577.669983,587.030029,569.460022,581.289978,581.289978,412265600
2020-07-22,578.400024,580.739990,560.190002,566.330017,566.330017,387538600
2020-07-29,563.200012,566.820007,543.630005,557.940002,557.940002,447806100
2020-08-05,563.299988,569.090027,554.880005,565.559998,565.559998,430576100
2020-08-12,564.669983,575.710022,557.270020,559.440002,559.440002,433873700
2020-08-19,557.789978,565.909973,545.010010,559.809998,559.809998,380191700
2020-08-26,559.729980,568.210022,547.429993,552.219971,552.219971,372915400
2020-09-02,555.340027,568.080017,534.650024,540.789978,540.789978,143038400
2020-09-09,541.880005,557.640015,541.739990,555.950012,555.950012,376100
2020-09-16,556.250000,559.989990,533.219971,540.780029,540.780029,508191400
2020-09-23,545.679993,553.190002,536.859985,548.919983,548.919983,449008600
2020-09-30,546.510010,559.809998,547.830017,555.380005,555.380005,507498000
2020-10-07,554.239990,575.520020,551.719971,572.469971,572.469971,534567300
2020-10-14,572.229980,574.349976,557.760010,564.000000,564.000000,448543400
2020-10-21,566.309998,566.400024,542.070007,545.650024,545.650024,467039400
2020-10-28,539.690002,554.479980,527.859985,554.479980,554.479980,627948100
2020-11-04,548.479980,599.200012,547.599976,591.869995,591.869995,358885700
2020-11-11,591.299988,604.190002,589.049988,600.940002,600.940002,695900
2020-11-18,598.359985,608.260010,593.969971,607.460022,607.460022,267125100
2020-11-25,607.489990,615.109985,603.549988,611.409973,611.409973,376377400
