Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,13913.030273,14003.389648,13852.730469,13898.450195,13898.450195,14013990000
2020-01-08,13897.009766,14068.580078,13896.589844,14037.129883,14037.129883,17693760000
2020-01-15,14022.299805,14183.259766,14021.179688,14109.980469,14109.980469,15055430000
2020-01-22,14147.889648,14168.200195,13742.009766,13877.610352,13877.610352,18441660000
2020-01-29,13912.790039,13922.440430,13573.040039,13862.839844,13862.839844,19652810000
2020-02-05,13964.000000,14100.269531,13899.530273,14054.080078,14054.080078,18927650000
2020-02-12,14117.830078,14148.240234,13990.700195,14039.009766,14039.009766,14569380000
2020-02-19,14077.509766,14115.950195,13110.089844,13143.730469,13143.730469,21941210000
2020-02-26,13194.309570,13323.339844,12024.450195,12542.740234,12542.740234,33833140000
2020-03-04,12696.610352,13011.450195,11240.769531,11793.269531,11793.269531,33222180000
2020-03-11,11523.940430,11523.940430,9484.650391,10063.360352,10063.360352,40602200000
2020-03-18,9562.490234,9676.940430,8664.940430,9658.320313,9658.320313,40696710000
2020-03-25,9749.799805,10556.900391,9591.740234,10301.870117,10301.870117,34547670000
2020-04-01,9917.309570,10912.559570,9766.799805,10537.040039,10537.040039,31922660000
2020-04-08,10641.509766,11272.480469,10538.650391,11172.200195,11172.200195,24578220000
2020-04-15,10861.969727,11231.269531,10667.290039,10706.440430,10706.440430,26471510000
2020-04-22,10919.969727,11481.299805,10844.759766,11319.700195,11319.700195,27047800000
2020-04-29,11546.400391,11675.299805,10900.389648,11135.400391,11135.400391,27749150000
2020-05-06,11196.870117,11360.110352,10999.990234,11055.580078,11055.580078,24798750000
2020-05-13,11035.230469,11454.349609,10551.549805,11248.969727,11248.969727,28595710000
2020-05-20,11408.610352,11676.959961,11247.290039,11603.000000,11603.000000,19749770000
2020-05-27,11787.559570,12046.410156,11602.429688,12046.410156,12046.410156,28909620000
2020-06-03,12175.059570,12836.679688,12175.059570,12619.519531,12619.519531,35855280000
2020-06-10,12616.629883,12628.910156,11525.360352,12161.469727,12161.469727,30991880000
2020-06-17,12193.410156,12240.309570,11907.219727,12077.740234,12077.740234,26676410000
2020-06-24,11956.290039,11961.620117,11578.809570,11893.780273,11893.780273,27659790000
2020-07-01,11907.830078,12218.190430,11858.820313,11990.139648,11990.139648,17934110000
2020-07-08,12023.570313,12242.679688,11831.040039,12014.669922,12014.669922,23639010000
2020-07-15,12377.650391,12570.709961,12295.690430,12508.679688,12508.679688,21143980000
2020-07-22,12508.679688,12617.179688,12427.660156,12491.219727,12491.219727,20432350000
2020-07-29,12533.459961,12688.690430,12320.730469,12612.110352,12612.110352,23312880000
2020-08-05,12612.089844,13003.589844,12612.089844,12849.429688,12849.429688,22510790000
2020-08-12,12984.900391,13010.860352,12856.690430,12910.330078,12910.330078,18163370000
2020-08-19,12931.080078,13029.900391,12739.000000,13001.990234,13001.990234,18580740000
2020-08-26,13006.179688,13173.969727,12975.959961,13113.740234,13113.740234,19965200000
2020-09-02,13132.709961,13299.730469,12659.160156,12688.070313,12688.070313,18280910000
2020-09-09,12806.240234,13047.480469,12683.339844,12967.179688,12967.179688,19701120000
2020-09-16,13013.459961,13128.679688,12421.150391,12602.540039,12602.540039,24942320000
2020-09-23,12630.530273,12735.160156,12228.969727,12602.639648,12602.639648,20354130000
2020-09-30,12643.450195,13083.299805,12551.969727,12837.879883,12837.879883,20884910000
2020-10-07,12950.559570,13350.589844,12950.559570,13211.950195,13211.950195,18637200000
2020-10-14,13222.360352,13267.160156,12960.980469,13092.160156,13092.160156,20221620000
2020-10-21,13092.160156,13215.589844,12815.280273,12817.870117,12817.870117,19843020000
2020-10-28,12575.290039,12936.900391,12293.750000,12877.450195,12877.450195,23404040000
2020-11-04,12916.230469,13930.879883,12868.620117,13707.990234,13707.990234,29039020000
2020-11-11,13779.929688,13989.339844,13476.230469,13949.099609,13949.099609,24291310000
2020-11-18,13986.410156,14271.089844,13714.269531,14249.500000,14249.500000,25144480000
2020-11-25,14249.500000,14249.500000,13977.049805,14006.459961,14006.459961,13972410000
