Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,23319.759766,23577.439453,23148.529297,23575.720703,23575.720703,137100
2020-01-08,23217.490234,24059.859375,22951.179688,24025.169922,24025.169922,261700
2020-01-15,23923.480469,24115.949219,23843.480469,23864.560547,23864.560547,254900
2020-01-22,23835.490234,24040.869141,23115.150391,23215.710938,23215.710938,280000
2020-01-29,23309.320313,23421.589844,22775.919922,23084.589844,23084.589844,340300
2020-02-05,23351.470703,23995.369141,23241.640625,23685.980469,23685.980469,287300
2020-02-12,23741.210938,23908.849609,23133.599609,23193.800781,23193.800781,321700
2020-02-19,23329.330078,23806.560547,22335.210938,22605.410156,22605.410156,292800
2020-02-26,22374.140625,22456.550781,20834.289063,21082.730469,21082.730469,583000
2020-03-04,20897.199219,21399.869141,18891.769531,19867.119141,19867.119141,627000
2020-03-11,19758.259766,19974.830078,16378.940430,17011.529297,17011.529297,884100
2020-03-18,17154.080078,18100.390625,16358.190430,18092.349609,18092.349609,693700
2020-03-25,18446.800781,19564.380859,18446.800781,18917.009766,18917.009766,667900
2020-04-01,18686.119141,19162.519531,17646.500000,18950.179688,18950.179688,523000
2020-04-08,19047.759766,19705.990234,18730.800781,19638.810547,19638.810547,423200
2020-04-15,19589.250000,19922.070313,19154.410156,19280.779297,19280.779297,407700
2020-04-22,19109.179688,19841.779297,18858.250000,19771.189453,19771.189453,379900
2020-04-29,20105.679688,20365.890625,19551.730469,19619.349609,19619.349609,190000
2020-05-06,19468.519531,20534.880859,19448.929688,20366.480469,20366.480469,309000
2020-05-13,20140.919922,20659.460938,19832.880859,20433.449219,20433.449219,396500
2020-05-20,20454.490234,21328.339844,20334.990234,21271.169922,21271.169922,348100
2020-05-27,21249.310547,22401.789063,21142.720703,22325.609375,22325.609375,549300
2020-06-03,22649.009766,23185.849609,22462.679688,23091.029297,23091.029297,471700
2020-06-10,22939.000000,23175.820313,21529.830078,22582.210938,22582.210938,480600
2020-06-17,22517.140625,22693.890625,22125.349609,22549.050781,22549.050781,289300
2020-06-24,22541.009766,22663.289063,21969.589844,22288.140625,22288.140625,362300
2020-07-01,22338.300781,22742.279297,22039.560547,22614.689453,22614.689453,313400
2020-07-08,22481.609375,22784.740234,22285.070313,22587.009766,22587.009766,341100
2020-07-15,22817.910156,22965.560547,22580.189453,22884.220703,22884.220703,336500
2020-07-22,22791.750000,22855.310547,22429.570313,22657.380859,22657.380859,205000
2020-07-29,22543.890625,22603.820313,21710.000000,22573.660156,22573.660156,431800
2020-08-05,22479.720703,22760.869141,22204.609375,22750.240234,22750.240234,302600
2020-08-12,22747.439453,23338.789063,22670.740234,23051.080078,23051.080078,334600
2020-08-19,22997.929688,23431.039063,22851.830078,23296.769531,23296.769531,267400
2020-08-26,23257.050781,23376.130859,22594.789063,23138.070313,23138.070313,339200
2020-09-02,23261.089844,23580.509766,23086.890625,23274.130859,23274.130859,288800
2020-09-09,22966.890625,23582.210938,22878.710938,23454.890625,23454.890625,356100
2020-09-16,23425.230469,23506.449219,23272.230469,23360.300781,23360.300781,206700
2020-09-23,23245.890625,23622.740234,23039.480469,23539.099609,23539.099609,363000
2020-09-30,23478.849609,23522.380859,22951.410156,23433.730469,23433.730469,291700
2020-10-07,23272.449219,23725.580078,23272.449219,23601.779297,23601.779297,256600
2020-10-14,23545.660156,23707.160156,23382.669922,23567.039063,23567.039063,245400
2020-10-21,23615.519531,23702.300781,23232.310547,23485.800781,23485.800781,241800
2020-10-28,23372.609375,23451.029297,22948.470703,23295.480469,23295.480469,271000
2020-11-04,23619.580078,25279.939453,23505.779297,24905.589844,24905.589844,428600
2020-11-11,25145.660156,26057.300781,25145.660156,26014.619141,26014.619141,430300
2020-11-18,25860.550781,26261.779297,25425.589844,26165.589844,26165.589844,296300
2020-11-25,26468.519531,26852.160156,26255.470703,26787.539063,26787.539063,463100
